"ID_GRP","CH_COD_GRP","FK_RES_RES","CH_LIB_LONG_GRP"
"11","010A1","31","GROUPE CASA ANFA"
"21","010B1","31","GROUPE CASA MAARIF"
"22","010C1","25","GROUPE CASA MOULAY YOUSSEF"
"81","010D1","37","GROUPE CASA AIN CHOCK-SIDI MAAROUF"
"55","010E1","1","GROUPE CASA HAY HASSANI"
"36","010F1","25","GROUPE CASA 2 MARS"
"132","010G1","1","GROUPE TPE CASA SUD"
"146","010H1","37","GROUPE CASA CALIFORNIE"
"148","010I1","1","GROUPE CASA OULFA"
"37","020A1","10","GROUPE CASA SIDI BELYOUT"
"1","020B1","10","GROUPE CASA MERS SULTAN"
"126","020C1","11","GROUPE TPE CASA NORD"
"23","020D1","11","GROUPE CASA AIN SEBAA-BERNOUSSI"
"24","020E1","37","GROUPE CASA EL FIDA-DERB SOLTAN"
"92","020F1","11","GROUPE CASA SBATA SIDI OTHMANE"
"63","020G1","29","GROUPE MOHAMMEDIA"
"124","020H1","29","GROUPE CASA AIN SEBAA BERNOUSSI"
"144","020I1","11","GROUPE CASA AIN SEBAA HAY MOHAMMEDI"
"145","020J1","11","GROUPE CASA BERNOUSSI SIDI MOUMEN"
"142","020K1","11","GROUPE CASA MLY RACHID SIDI OTHMANE"
"141","020L1","37","GROUPE CASA BEN MSIK"
"143","020M1","35","GROUPE CASA BELVEDER ROCHES NOIRES"
"150","020N1","29","GROUPE MOULAY RACHID SIDI MOUMEN"
"2","030A1","33","GROUPE SALE CENTRE"
"38","030B1","33","GROUPE RABAT CENTRE"
"39","030C1","39","GROUPE RABAT SOUISSI HAY RIAD"
"12","030D1","39","GROUPE RABAT AGDAL"
"64","030E1","33","GROUPE SALE EXTENTION"
"25","030F1","39","GROUPE TEMARA"
"97","030G1","12","GROUPE SALE EXTENSION ZEMMOUR"
"40","040A1","24","GROUPE TANGER CENTRE"
"3","040B1","4","GROUPE TETOUAN CENTRE"
"82","040C1","4","GROUPE TETOUAN EXTENSION"
"26","040D1","24","GROUPE TANGER FAHS"
"27","040E1","24","GROUPE LOUKKOS"
"65","040F1","24","GROUPE TANGER M'SALLAH"
"111","040G1","24","GROUPE C.A. TANGER"
"112","040H1","4","GROUPE AL HOCEIMA"
"138","040I1","24","GROUPE TANGER DETROIT"
"120","040J1","24","GROUPE CA.TANGER GZENAYA"
"113","040K1","4","GROUPE SUCC. ENTREP. TANGER MED"
"140","040L1","4","GROUPE SUCC. TETOUAN ENTREPRISE"
"4","050A1","5","GROUPE FES EXTENSION SEFROU"
"41","050B1","5","GROUPE FES CENTRE"
"71","050C1","5","GROUPE FES MEDINA TAOUNATE"
"13","050D1","5","GROUPE C.A. FES"
"93","050E1","5","GROUPE TAZA"
"28","050F1","5","GROUPE TAOUNATE BOULMANE"
"121","050G1","5","GROUPE FES EXTENSION"
"125","050H1","5","GROUPE SUCC. ENTREP. FES"
"135","050I1","5","GROUPE FES SAISS"
"134","050J1","5","GROUPE FES MEDINA"
"133","050K1","5","GROUPE TAOUNATE BOULMANE"
"139","050L1","5","SUCCURSALE ENTREPRISE TAZA"
"29","060A1","15","GROUPE C.A. OUJDA"
"14","060B1","15","GROUPE SUCC. ENTREP. BERKANE"
"94","060C1","15","GROUPE BERKANE"
"42","060D1","15","GROUPE GUERCIF FIGUIG"
"72","060E1","15","GROUPE DRIOUCH"
"56","060F1","15","GROUPE OUJDA CENTRE"
"83","060G1","15","GROUPE OUJDA EXTENSION"
"84","060G1","15","GROUPE OUJDA EXTENSION"
"15","070A1","16","GROUPE KHENIFRA"
"114","070B1","16","GROUPE FQUIH BEN-SALEH AZILAL"
"30","070C1","16","GROUPE KHOURIBGA OUARDIGHA"
"57","070D1","16","GROUPE SUCC ENTREP BENI MELLAL"
"5","070E1","16","GROUPE TENSIFT"
"43","070F1","16","GROUPE BENI MELLAL TADLA"
"44","070G1","16","GROUPE MARRAKECH EXTENSION"
"6","080A1","17","GROUPE C.A AIT MELLOUL"
"45","080B1","17","GROUPE SOUSS"
"46","080C1","17","GROUPE TIZNIT GUELMIM"
"119","080D1","17","GROUPE AIT MELLOUL BIOUGRA"
"16","080E1","17","GROUPE INEZGANE AIT MELLOUL"
"51","080F1","17","GROUPE INZEGANE DCHEIRA   L"
"149","080G1","17","GROUPE DCHEIRA INZEGANE AIT MELLOUL"
"73","090A1","18","GROUPE C.A MARRKECH"
"58","090B1","18","GROUPE MARRAKECH MENARA KOUTOUBIA"
"85","090C1","18","GROUPE MARRAKECH GUELIZ"
"98","090D1","18","GROUPE SAFI"
"68","090E1","18","GROUPE SUCC. ENTREP. SAFI"
"108","090F1","18","GROUPE SUCC. ENTREP.MRKCH SD GHANEM"
"123","090G1","18","GROUPE MARRAKECH TARGA MASSIRA"
"147","090H1","18","GROUPE MARRAKECH ENNAKHIL"
"47","100A1","13","COMPTE INTERNE"
"7","110A1","14","GUICHET FERMEE"
"136","110X1","14","GUICHET FERMEE"
"31","120A1","35","GROUPE C.A. CASA LAHRIZI"
"66","120B1","37","GROUPE C.A. CASA DAKAR"
"95","120C1","29","GROUPE SUCC.ENTREP. MOHAMMEDIA"
"101","120D1","35","GROUPE C.A. CASA MANSOUR EDDAHBI"
"74","120E1","29","GROUPE C.A. CASA AIN SEBAA"
"59","120F1","37","GROUPE C.A. CASA MECHOUAR"
"86","120G1","35","GROUPE C.A. CASA MY ALI KETTANI"
"87","120H1","29","GROUPE C.A. ZENATA"
"117","120I1","2","SUC.ENT.CASA.MEDIOUNA EXPANSION"
"17","130A1","25","GROUPE C.A. CASA MOULAY YOUSSEF"
"99","130B1","25","GROUPE C.A. CASA 2001"
"69","130C1","31","GROUPE C.A. CASA YACOUB EL MANSOUR"
"60","130D1","37","GROUPE C.A. CASA MANDARONA"
"88","130E1","31","GROUPE C.A. CASA PORTE D'ANFA"
"102","130F1","25","GROUPE C.A. CASA HASSAN II"
"75","130G1","3","GROUPE SUCC. ENTREP. CASA NEARSHORE"
"76","130H1","31","GROUPE C.A. CASA ABDELMOUMEN"
"118","130K1","3","GROUPE C.A. CASA MY ALI KETTANI"
"32","140A1","19","GROUPE MEKNES EL MENZEH"
"96","140B1","19","GROUPE C.A. MEKNES"
"67","140C1","19","GROUPE MEKNES EL ISMAILIA"
"77","140D1","19","GROUPE AZROU EL HAJEB"
"103","140E1","19","GROUPE MEKNES AL ISMAILIA EXTENSION"
"89","140F1","19","GROUPE MEKNES CENTRE"
"18","150A1","27","GROUPE C.A. KENITRA"
"70","150B1","20","GROUPE SUCC. ENTREP. TANGER TFZ"
"100","150C1","33","GROUPE C.A. RABAT EXPANSION"
"90","150D1","39","GROUPE C.A. RABAT NATIONS UNIES"
"61","150E1","20","GROUPE C.A. TETOUAN"
"78","150F1","39","GROUPE C.A. RABAT SOUISSI"
"104","150G1","20","GROUPE SUCC. ENTREP. TANGER MED"
"105","150H1","33","GROUPE C.A. SALE"
"79","150I1","20","GROUPE SUCC. ENTREP. TEMARA"
"54","150X1","20","GROUPE CA RABAT KENITRA"
"106","160A1","6","GROUPE C.A MARRKECH"
"91","160B1","6","GROUPE SUCC. ENTREP. SAFI"
"62","170A1","7","GROUPE C.A AGADIR"
"80","170B1","7","GROUPE AGADIR CENTRE"
"107","170C1","7","GROUPE AGADIR EXTENSION"
"129","170D1","7","GROUPE SAHARA"
"137","170E1","7","SUCCURSALE ENTREPRISE LAAYOUNE"
"53","180A1","8","GROUPE AL HOCEIMA"
"109","180B1","8","GROUPE DRIOUCH"
"115","180C1","8","GROUPE NADOR CENTRE"
"110","180D1","8","GROUPE NADOR EXTENSION"
"116","180E1","8","GROUPE SUCC. ENTREP. NADOR"
"131","190A1","27","GROUPE KENITRA CENTRE"
"130","190B1","27","GROUPE GHARB"
"127","190C1","27","GROUPE KENITRA EXTENSION ZEMMOUR"
"8","200A1","21","GROUPE ERRACHIDIA TAFILALET"
"48","200B1","21","GROUPE TENSIFT RHAMNA"
"49","200C1","21","GROUPE OUARZAZATE DARAA"
"19","200D1","21","GROUPE ESSAOUIRA CHICHAOUA"
"50","210A1","22","GROUPE SETTAT CHAOUIA"
"9","210B1","22","GROUPE EL JADIDA"
"10","210C1","22","GROUPE CENTRE D'AFFAIRES EL JADIDA"
"33","210D1","37","GROUPE SUCCURSALE ENTREPR BERRECHID"
"122","210E1","22","GROUPE EL JADIDA EXTENTION"
"128","210F1","22","GROUPE BERRECHID BENSLIMANE"
"20","220A1","10","GROUPE BERKANE"
"34","220B1","10","GROUPE OUJDA"
"35","220C1","10","GROUPE TAZA"
"151","251A1","37","GROUPE BERRECHID MEDIOUNA"
"154","253A1","35","GROUPE CASA MERS-SULTAN SIDI BELYOU"
"152","254A1","31","GROUPE CASA HAY HASSANI OULFA"
"153","257A1","39","GROUPE CENTRE D'AFFAIRE TEMARA"
"52","300A1","23","GROUPE BANK ASSAFA"
"-1","NA","-1","NON RENSEIGNE"
